"match.id","strat","t","i","u","a","obs.i","obs.j","err.D.i","err.D.j"
1248930644,"always.defect",12,1,0,"D","D","D",TRUE,TRUE
1248930644,"always.defect",12,2,0,"D","D","D",TRUE,TRUE
1248930644,"always.defect",13,1,0,"D","D","D",FALSE,FALSE
1248930644,"always.defect",13,2,0,"D","D","D",FALSE,FALSE
1248930644,"always.defect",14,1,0,"D","D","D",FALSE,TRUE
1248930644,"always.defect",14,2,0,"D","D","D",TRUE,FALSE
1248930644,"always.defect",15,1,0,"D","D","D",TRUE,FALSE
1248930644,"always.defect",15,2,0,"D","D","D",FALSE,TRUE
1248930644,"always.defect",16,1,0,"D","D","D",FALSE,TRUE
1248930644,"always.defect",16,2,0,"D","D","D",TRUE,FALSE
1248930644,"always.defect",17,1,0,"D","D","D",TRUE,TRUE
1248930644,"always.defect",17,2,0,"D","D","D",TRUE,TRUE
1248930644,"always.defect",18,1,0,"D","D","D",FALSE,FALSE
1248930644,"always.defect",18,2,0,"D","D","D",FALSE,FALSE
1248930644,"always.defect",19,1,0,"D","D","D",FALSE,FALSE
1248930644,"always.defect",19,2,0,"D","D","D",FALSE,FALSE
1752153635,"always.defect",1,1,2,"D","C","C",FALSE,FALSE
1752153635,"always.coop",1,2,-1,"C","C","C",FALSE,FALSE
1752153635,"always.defect",2,1,2,"D","D","C",FALSE,FALSE
1752153635,"always.coop",2,2,-1,"C","C","D",FALSE,FALSE
1752153635,"always.defect",3,1,2,"D","D","C",TRUE,FALSE
1752153635,"always.coop",3,2,-1,"C","C","D",FALSE,TRUE
1752153635,"always.defect",4,1,2,"D","D","C",FALSE,FALSE
1752153635,"always.coop",4,2,-1,"C","C","D",FALSE,FALSE
1752153635,"always.defect",5,1,2,"D","D","C",TRUE,TRUE
1752153635,"always.coop",5,2,-1,"C","C","D",TRUE,TRUE
1752153635,"always.defect",6,1,2,"D","D","D",FALSE,FALSE
1752153635,"always.coop",6,2,-1,"C","D","D",FALSE,FALSE
1752153635,"always.defect",7,1,2,"D","D","C",FALSE,FALSE
1752153635,"always.coop",7,2,-1,"C","C","D",FALSE,FALSE
1752153635,"always.defect",8,1,2,"D","D","C",FALSE,FALSE
1752153635,"always.coop",8,2,-1,"C","C","D",FALSE,FALSE
1752153635,"always.defect",9,1,2,"D","D","C",FALSE,FALSE
1752153635,"always.coop",9,2,-1,"C","C","D",FALSE,FALSE
1752153635,"always.defect",10,1,2,"D","D","C",FALSE,FALSE
1752153635,"always.coop",10,2,-1,"C","C","D",FALSE,FALSE
1752153635,"always.defect",11,1,2,"D","D","C",FALSE,TRUE
1752153635,"always.coop",11,2,-1,"C","C","D",TRUE,FALSE
1752153635,"always.defect",12,1,2,"D","D","D",TRUE,TRUE
1752153635,"always.coop",12,2,-1,"C","D","D",TRUE,TRUE
1752153635,"always.defect",13,1,2,"D","D","D",FALSE,FALSE
1752153635,"always.coop",13,2,-1,"C","D","D",FALSE,FALSE
1752153635,"always.defect",14,1,2,"D","D","C",FALSE,TRUE
1752153635,"always.coop",14,2,-1,"C","C","D",TRUE,FALSE
1752153635,"always.defect",15,1,2,"D","D","D",TRUE,FALSE
1752153635,"always.coop",15,2,-1,"C","D","D",FALSE,TRUE
1752153635,"always.defect",16,1,2,"D","D","C",FALSE,TRUE
1752153635,"always.coop",16,2,-1,"C","C","D",TRUE,FALSE
1752153635,"always.defect",17,1,2,"D","D","D",TRUE,TRUE
1752153635,"always.coop",17,2,-1,"C","D","D",TRUE,TRUE
1752153635,"always.defect",18,1,2,"D","D","D",FALSE,FALSE
1752153635,"always.coop",18,2,-1,"C","D","D",FALSE,FALSE
1752153635,"always.defect",19,1,2,"D","D","C",FALSE,FALSE
1752153635,"always.coop",19,2,-1,"C","C","D",FALSE,FALSE
552478235,"always.defect",1,1,2,"D","C","C",FALSE,FALSE
552478235,"random.action",1,2,-1,"C","C","C",FALSE,FALSE
552478235,"always.defect",2,1,2,"D","D","C",FALSE,TRUE
552478235,"random.action",2,2,-1,"C","C","D",TRUE,FALSE
552478235,"always.defect",3,1,2,"D","D","D",FALSE,FALSE
552478235,"random.action",3,2,-1,"C","D","D",FALSE,FALSE
552478235,"always.defect",4,1,2,"D","D","C",FALSE,TRUE
552478235,"random.action",4,2,-1,"C","C","D",TRUE,FALSE
552478235,"always.defect",5,1,0,"D","D","D",TRUE,FALSE
552478235,"random.action",5,2,0,"D","D","D",FALSE,TRUE
552478235,"always.defect",6,1,2,"D","D","D",FALSE,FALSE
552478235,"random.action",6,2,-1,"C","D","D",FALSE,FALSE
552478235,"always.defect",7,1,2,"D","D","C",FALSE,FALSE
552478235,"random.action",7,2,-1,"C","C","D",FALSE,FALSE
552478235,"always.defect",8,1,2,"D","D","C",FALSE,FALSE
552478235,"random.action",8,2,-1,"C","C","D",FALSE,FALSE
552478235,"always.defect",9,1,2,"D","D","C",FALSE,FALSE
552478235,"random.action",9,2,-1,"C","C","D",FALSE,FALSE
552478235,"always.defect",10,1,2,"D","D","C",FALSE,FALSE
552478235,"random.action",10,2,-1,"C","C","D",FALSE,FALSE
552478235,"always.defect",11,1,2,"D","D","C",TRUE,TRUE
552478235,"random.action",11,2,-1,"C","C","D",TRUE,TRUE
552478235,"always.defect",12,1,2,"D","D","D",TRUE,FALSE
552478235,"random.action",12,2,-1,"C","D","D",FALSE,TRUE
552478235,"always.defect",13,1,0,"D","D","C",FALSE,FALSE
552478235,"random.action",13,2,0,"D","C","D",FALSE,FALSE
552478235,"always.defect",14,1,2,"D","D","D",TRUE,TRUE
552478235,"random.action",14,2,-1,"C","D","D",TRUE,TRUE
552478235,"always.defect",15,1,2,"D","D","D",FALSE,FALSE
552478235,"random.action",15,2,-1,"C","D","D",FALSE,FALSE
552478235,"always.defect",16,1,0,"D","D","C",TRUE,TRUE
552478235,"random.action",16,2,0,"D","C","D",TRUE,TRUE
552478235,"always.defect",17,1,0,"D","D","D",TRUE,FALSE
552478235,"random.action",17,2,0,"D","D","D",FALSE,TRUE
552478235,"always.defect",18,1,2,"D","D","D",FALSE,FALSE
552478235,"random.action",18,2,-1,"C","D","D",FALSE,FALSE
552478235,"always.defect",19,1,0,"D","D","C",FALSE,FALSE
552478235,"random.action",19,2,0,"D","C","D",FALSE,FALSE
775700438,"always.coop",1,1,1,"C","C","C",FALSE,FALSE
775700438,"tit.for.tat",1,2,1,"C","C","C",FALSE,FALSE
775700438,"always.coop",2,1,1,"C","C","C",FALSE,FALSE
775700438,"tit.for.tat",2,2,1,"C","C","C",FALSE,FALSE
775700438,"always.coop",3,1,1,"C","C","C",TRUE,FALSE
775700438,"tit.for.tat",3,2,1,"C","C","C",FALSE,TRUE
775700438,"always.coop",4,1,-1,"C","D","C",FALSE,FALSE
775700438,"tit.for.tat",4,2,2,"D","C","D",FALSE,FALSE
775700438,"always.coop",5,1,1,"C","C","D",TRUE,TRUE
775700438,"tit.for.tat",5,2,1,"C","D","C",TRUE,TRUE
775700438,"always.coop",6,1,-1,"C","D","D",FALSE,FALSE
775700438,"tit.for.tat",6,2,2,"D","D","D",FALSE,FALSE
775700438,"always.coop",7,1,1,"C","C","D",FALSE,FALSE
775700438,"tit.for.tat",7,2,1,"C","D","C",FALSE,FALSE
775700438,"always.coop",8,1,1,"C","C","C",FALSE,FALSE
775700438,"tit.for.tat",8,2,1,"C","C","C",FALSE,FALSE
775700438,"always.coop",9,1,1,"C","C","C",FALSE,FALSE
775700438,"tit.for.tat",9,2,1,"C","C","C",FALSE,FALSE
775700438,"always.coop",10,1,1,"C","C","C",FALSE,FALSE
775700438,"tit.for.tat",10,2,1,"C","C","C",FALSE,FALSE
775700438,"always.coop",11,1,1,"C","C","C",FALSE,TRUE
775700438,"tit.for.tat",11,2,1,"C","C","C",TRUE,FALSE
775700438,"always.coop",12,1,1,"C","C","D",TRUE,TRUE
775700438,"tit.for.tat",12,2,1,"C","D","C",TRUE,TRUE
775700438,"always.coop",13,1,-1,"C","D","D",FALSE,FALSE
775700438,"tit.for.tat",13,2,2,"D","D","D",FALSE,FALSE
775700438,"always.coop",14,1,1,"C","C","D",FALSE,TRUE
775700438,"tit.for.tat",14,2,1,"C","D","C",TRUE,FALSE
775700438,"always.coop",15,1,1,"C","C","D",TRUE,FALSE
775700438,"tit.for.tat",15,2,1,"C","D","C",FALSE,TRUE
775700438,"always.coop",16,1,-1,"C","D","C",FALSE,TRUE
775700438,"tit.for.tat",16,2,2,"D","C","D",TRUE,FALSE
775700438,"always.coop",17,1,1,"C","C","D",TRUE,TRUE
775700438,"tit.for.tat",17,2,1,"C","D","C",TRUE,TRUE
775700438,"always.coop",18,1,-1,"C","D","D",FALSE,FALSE
775700438,"tit.for.tat",18,2,2,"D","D","D",FALSE,FALSE
775700438,"always.coop",19,1,1,"C","C","D",FALSE,FALSE
775700438,"tit.for.tat",19,2,1,"C","D","C",FALSE,FALSE
701234972,"always.coop",1,1,-1,"C","C","C",FALSE,FALSE
701234972,"always.defect",1,2,2,"D","C","C",FALSE,FALSE
701234972,"always.coop",2,1,-1,"C","C","D",FALSE,FALSE
701234972,"always.defect",2,2,2,"D","D","C",FALSE,FALSE
701234972,"always.coop",3,1,-1,"C","C","D",TRUE,FALSE
701234972,"always.defect",3,2,2,"D","D","C",FALSE,TRUE
701234972,"always.coop",4,1,-1,"C","D","D",FALSE,FALSE
701234972,"always.defect",4,2,2,"D","D","D",FALSE,FALSE
701234972,"always.coop",5,1,-1,"C","C","D",TRUE,TRUE
701234972,"always.defect",5,2,2,"D","D","C",TRUE,TRUE
