"match.id","strat","t","i","p","l","u"
473108217,"the.undercutter",12,2,0.39,0.5,0.195
473108217,"the.undercutter",13,1,0.38,0.5,0.19
473108217,"the.undercutter",13,2,0.38,0.5,0.19
473108217,"the.undercutter",14,1,0.37,0.5,0.185
473108217,"the.undercutter",14,2,0.37,0.5,0.185
473108217,"the.undercutter",15,1,0.36,0.5,0.18
473108217,"the.undercutter",15,2,0.36,0.5,0.18
473108217,"the.undercutter",16,1,0.35,0.5,0.175
473108217,"the.undercutter",16,2,0.35,0.5,0.175
473108217,"the.undercutter",17,1,0.34,0.5,0.17
473108217,"the.undercutter",17,2,0.34,0.5,0.17
473108217,"the.undercutter",18,1,0.33,0.5,0.165
473108217,"the.undercutter",18,2,0.33,0.5,0.165
473108217,"the.undercutter",19,1,0.32,0.5,0.16
473108217,"the.undercutter",19,2,0.32,0.5,0.16
473108217,"the.undercutter",20,1,0.31,0.5,0.155
473108217,"the.undercutter",20,2,0.31,0.5,0.155
473108217,"the.undercutter",21,1,0.3,0.5,0.15
473108217,"the.undercutter",21,2,0.3,0.5,0.15
473108217,"the.undercutter",22,1,0.29,0.5,0.145
473108217,"the.undercutter",22,2,0.29,0.5,0.145
1723141530,"traveling.salesman",1,1,0.5,0,0.125
1723141530,"traveling.salesman",1,2,0.5,0,0.125
1723141530,"traveling.salesman",2,1,0.5,0,0.125
1723141530,"traveling.salesman",2,2,0.5,0,0.125
1723141530,"traveling.salesman",3,1,0.5,0,0.125
1723141530,"traveling.salesman",3,2,0.5,0,0.125
1723141530,"traveling.salesman",4,1,0.5,0,0.125
1723141530,"traveling.salesman",4,2,0.5,0,0.125
1723141530,"traveling.salesman",5,1,0.5,0,0.125
1723141530,"traveling.salesman",5,2,0.5,0,0.125
1723141530,"traveling.salesman",6,1,0.5,0,0.125
1723141530,"traveling.salesman",6,2,0.5,0,0.125
1723141530,"traveling.salesman",7,1,0.5,0,0.125
1723141530,"traveling.salesman",7,2,0.5,0,0.125
1723141530,"traveling.salesman",8,1,0.5,0,0.125
1723141530,"traveling.salesman",8,2,0.5,0,0.125
1723141530,"traveling.salesman",9,1,0.5,0,0.125
1723141530,"traveling.salesman",9,2,0.5,0,0.125
1723141530,"traveling.salesman",10,1,0.5,0,0.125
1723141530,"traveling.salesman",10,2,0.5,0,0.125
1723141530,"traveling.salesman",11,1,0.5,0,0.125
1723141530,"traveling.salesman",11,2,0.5,0,0.125
1723141530,"traveling.salesman",12,1,0.5,0,0.125
1723141530,"traveling.salesman",12,2,0.5,0,0.125
1723141530,"traveling.salesman",13,1,0.5,0,0.125
1723141530,"traveling.salesman",13,2,0.5,0,0.125
1723141530,"traveling.salesman",14,1,0.5,0,0.125
1723141530,"traveling.salesman",14,2,0.5,0,0.125
1723141530,"traveling.salesman",15,1,0.5,0,0.125
1723141530,"traveling.salesman",15,2,0.5,0,0.125
1723141530,"traveling.salesman",16,1,0.5,0,0.125
1723141530,"traveling.salesman",16,2,0.5,0,0.125
1723141530,"traveling.salesman",17,1,0.5,0,0.125
1723141530,"traveling.salesman",17,2,0.5,0,0.125
1723141530,"traveling.salesman",18,1,0.5,0,0.125
1723141530,"traveling.salesman",18,2,0.5,0,0.125
1723141530,"traveling.salesman",19,1,0.5,0,0.125
1723141530,"traveling.salesman",19,2,0.5,0,0.125
1723141530,"traveling.salesman",20,1,0.5,0,0.125
1723141530,"traveling.salesman",20,2,0.5,0,0.125
